YEAR;REF_YEAR;BICYCLE;BIKESHARING;BY_FOOT;CAR;CARSHARING;MOTORBIKE;PUBLIC_TRANSPORT
1993;2015;3,00;0,00;28,00;40,00;0,00;0,00;29,00
1999;2015;4,00;0,00;27,00;36,00;0,00;0,00;33,00
2003;2015;3,00;0,00;27,00;35,00;0,00;1,00;34,00
2009;2015;6,00;0,00;27,00;32,00;0,00;0,00;35,00
2010;2015;5,00;0,00;28,00;31,00;0,00;0,00;36,00
2011;2015;6,00;0,00;28,00;29,00;0,00;0,00;37,00
2012;2015;6,00;0,00;28,00;27,00;0,00;0,00;39,00
2013;2015;6,00;0,00;27,00;28,00;0,00;0,00;39,00
2014;2015;7,00;0,00;26,00;28,00;0,00;0,00;39,00
2015;2015;7,00;0,00;27,00;27,00;0,00;0,00;39,00
